ProductName,StoreName
Seafood Fried Rice 魚蝦蟹炒飯,Fisherman's Terrace
G25. Sauteed Seafood Fried Rice 避風塘海鮮炒飯,Yue Ting Seafood Restaurant
149. Fook Chow Seafood Fried Rice福州海皇炒饭,Double Double Restaurant & Wonton Ltd.
160. XO Sauce W/ Seafood Fried Rice XO 酱海鲜炒饭,Double Double Restaurant & Wonton Ltd.
161. Dried Scallop & Seafood Fried Rice瑶柱海皇炒饭,Double Double Restaurant & Wonton Ltd.
Seafood Fried Rice,Nishiki Sushi Bar
Assorted Seafood Fried Rice,So Good Restaurant
Seafood Fried Rice 鸿羊炒饭,Fortune Lamb Dining
Seafood Fried Rice牛油海鮮炒飯,Richmond
Seafood Fried Rice 海鮮炒飯,Lougheed
Fu-Chow Style Seafood Fried Rice 福州炒飯 (Topped with sauce 有汁),Lougheed
Foo Chow Style Seafood Fried Rice / 福州炒飯,Pelican Seafood Restaurant
Seafood Fried Rice with Pineapple / 海鲜炒飯,Pelican Seafood Restaurant
Deluxe Seafood Fried Rice / 有米佬炒饭,Pelican Seafood Restaurant
35. Seafood Fried Rice,Summer House
Seafood Fried Rice,Valendine
43.芝士白汁焗海鮮飯或意麵 Baked Creamy Seafood Fried Rice or Linguine,Neptune Chinese Kitchen (UBC)
921. 福州瑤柱炒飯 Dried Scallop & Mixed Seafood Fried Rice,Neptune Chinese Kitchen (UBC)
926. 海鮮粒炒飯 Diced Mixed Seafood Fried Rice,Neptune Chinese Kitchen (UBC)
3. Seafood Fried Rice Served In Whole Pineapple 原隻菠蘿船海鮮炒飯,Grand Crystal Seafood Restaurant
Seafood Fried Rice 海鲜炒饭,Pinyuexuan Seafood Restaurant
931. 海鮮炒飯 Seafood Fried Rice,Lucky Fortune Seafood Restaurant
102. Fu-Chow Style Seafood Fried Rice 福州炒飯,Lucky Fortune Seafood Restaurant
